000825,太钢不锈,5696247796,5696074051,C31 黑色金属冶炼和压延加工业,1
000826,启迪桑德,854297580,846676340,N77 生态保护和环境治理业,1
000829,天音控股,959313496,950077151,F51 批发业,1
000839,中信国安,3919826352,3919204282,I63 电信、广播电视和卫星传输服,1
000858,五 粮 液,3795966720,3795750918,C15 酒、饮料和精制茶制造业,1
000876,新 希 望,4216015009,3456712402,C13 农副食品加工业,1
000878,云南铜业,1416398800,1416391956,C32 有色金属冶炼和压延加工业,1
000883,湖北能源,6507449486,5345829103,D44 电力、热力生产和供应业,1
000887,中鼎股份,1234440095,1213902259,C29 橡胶和塑料制品业,1
000895,双汇发展,3299558284,3299023594,C13 农副食品加工业,1
000898,鞍钢股份,6149007847,6148994610,C31 黑色金属冶炼和压延加工业,1
000901,航天科技,409460479,323623771,C37 铁路、船舶、航空航天和其他,1
000917,电广传媒,1417556338,1062082046,I63 电信、广播电视和卫星传输服,1
000930,中粮生化,964411115,964397222,C26 化学原料和化学制品制造业,1
000937,冀中能源,3533546850,2906599842,B06 煤炭开采和洗选业,1
000938,紫光股份,1042303162,206072350,C39 计算机、通信和其他电子设备,1
000957,中通客车,592903936,476998666,C36 汽车制造业,1
000959,首钢股份,5289389600,2966522430,C31 黑色金属冶炼和压延加工业,1
000960,锡业股份,1472055068,1209423038,C32 有色金属冶炼和压延加工业,1
000961,中南建设,3709788797,3699838250,E48 土木工程建筑业,1
000963,华东医药,972116416,868119982,F52 零售业,1
000970,中科三环,1065200000,1063471194,C39 计算机、通信和其他电子设备,1
000977,浪潮信息,999282714,995324717,C39 计算机、通信和其他电子设备,1
000979,中弘股份,8390601199,8388921199,K70 房地产业,1
000983,西山煤电,3151200000,3151197660,B06 煤炭开采和洗选业,1
000988,华工科技,891116632,890894432,C39 计算机、通信和其他电子设备,1
000997,新 大 陆,938399518,924321797,I65 软件和信息技术服务业,1
000998,隆平高科,1256194674,953345487,A01 农业,1
000999,华润三九,978900000,978395308,C27 医药制造业,1
001979,招商蛇口,7904092722,1899853726,K70 房地产业,1
002001,新 和 成,1088919000,1073039625,C27 医药制造业,1
002002,鸿达兴业,2420536036,2075683952,C26 化学原料和化学制品制造业,1
002004,华邦健康,2034827685,1669139177,C26 化学原料和化学制品制造业,1
002007,华兰生物,930087680,803396544,C27 医药制造业,1
002008,大族激光,1067065245,992183437,C35 专用设备制造业,1
002010,传化智联,3257814678,412817189,C26 化学原料和化学制品制造业,1
002013,中航机电,2405755557,2095041338,C37 铁路、船舶、航空航天和其他,1
002018,华信国际,2277827422,2277816172,C26 化学原料和化学制品制造业,1
002019,亿帆医药,1100798107,578251700,C27 医药制造业,1
002024,苏宁云商,9310039655,4986564568,F52 零售业,1
002027,分众传媒,12231566900,5803817233,L72 商务服务业,1
002030,达安基因,724920472,694373658,C27 医药制造业,1
002038,双鹭药业,684900000,566397213,C27 医药制造业,1
002044,美年健康,2421482706,1061791263,Q83 卫生,1
002049,紫光国芯,606817968,602715051,C39 计算机、通信和其他电子设备,1
002051,中工国际,1112774016,1107917173,E48 土木工程建筑业,1
002065,东华软件,3139787560,2736612438,I65 软件和信息技术服务业,1
002074,国轩高科,877600000,486479408,C38 电气机械和器材制造业,1
002075,沙钢股份,2206771772,2206770722,C31 黑色金属冶炼和压延加工业,1
002081,金 螳 螂,2643308689,2544354677,E50 建筑装饰和其他建筑业,1
002085,万丰奥威,2186879678,2113733512,C36 汽车制造业,1
002092,中泰化学,2146449598,1695045458,C26 化学原料和化学制品制造业,1
002108,沧州明珠,1090710923,1044545579,C29 橡胶和塑料制品业,1
002120,韵达股份,1217253678,138875561,C41 其他制造业,1
002129,中环股份,2644236466,2644236466,C38 电气机械和器材制造业,1
002131,利欧股份,5607625387,3061324019,I64 互联网和相关服务,1
002138,顺络电子,755474814,667661690,C39 计算机、通信和其他电子设备,1
002142,宁波银行,5069732305,4490153213,J66 货币金融服务,1
002146,荣盛发展,4348163851,3890348153,K70 房地产业,1
002152,广电运通,2428885725,1955163223,C34 通用设备制造业,1
002153,石基信息,1066788753,484463043,I65 软件和信息技术服务业,1
002155,湖南黄金,1202039474,996157273,B09 有色金属矿采选业,1
002168,深圳惠程,820589768,766059768,C38 电气机械和器材制造业,1
002176,江特电机,1469182112,1380671330,C38 电气机械和器材制造业,1
002179,中航光电,791013709,782471491,C39 计算机、通信和其他电子设备,1
002183,怡 亚 通,2119516750,2117300612,L72 商务服务业,1
002185,华天科技,2131112944,2130400020,C39 计算机、通信和其他电子设备,1
002191,劲嘉股份,1306047200,1302564375,C23 印刷和记录媒介复制业,1
002195,二三四五,3285446248,1872906161,I65 软件和信息技术服务业,1
002202,金风科技,2235494200,2157522689,C34 通用设备制造业,1
002217,合力泰,3128310676,1758117310,C39 计算机、通信和其他电子设备,1
002223,鱼跃医疗,1002476929,837481302,C35 专用设备制造业,1
002230,科大讯飞,1388693628,1190516436,I65 软件和信息技术服务业,1
002236,大华股份,2899411405,1701891379,C39 计算机、通信和其他电子设备,1
002241,歌尔股份,3245103948,2720061926,C39 计算机、通信和其他电子设备,1
002250,联化科技,925902056,678373048,C26 化学原料和化学制品制造业,1
002252,上海莱士,4970238896,4400660028,C27 医药制造业,1
002268,卫 士 通,838336028,551411685,I65 软件和信息技术服务业,1
002271,东方雨虹,880997515,563584777,C30 非金属矿物制品业,1
002273,水晶光电,662918124,611775332,C39 计算机、通信和其他电子设备,1
002276,万马股份,1035489098,937035269,C38 电气机械和器材制造业,1
002280,联络互动,2177149675,1265493884,I65 软件和信息技术服务业,1
002292,奥飞娱乐,1307889679,760170867,C24 文教、工美、体育和娱乐用品,1
002294,信立泰,1046016000,1046016000,C27 医药制造业,1
002299,圣农发展,1110900000,900865200,A03 畜牧业,1
002304,洋河股份,1506988000,1243672017,C15 酒、饮料和精制茶制造业,1
002310,东方园林,2681155280,1520136234,E48 土木工程建筑业,1
002311,海大集团,1575965054,1528557610,C13 农副食品加工业,1
002326,永太科技,826085587,516901877,C26 化学原料和化学制品制造业,1
002329,皇氏集团,837640035,513762346,C14 食品制造业,1
002340,格林美,3815910339,3114253706,C42 废弃资源综合利用业,1
002343,慈文传媒,314510000,231521935,R86 广播、电视、电影和影视录音,1
002352,顺丰控股,4183678213,142472846,G60 邮政业,1
002353,杰瑞股份,957853992,667911808,C35 专用设备制造业,1
002366,台海核电,867057350,489035056,C35 专用设备制造业,1
002368,太极股份,415597227,390621405,I65 软件和信息技术服务业,1
002385,大北农,4100669122,2307204220,C13 农副食品加工业,1
002389,南洋科技,708846900,527908563,C39 计算机、通信和其他电子设备,1
002390,信邦制药,1704895788,1020533298,C27 医药制造业,1
002399,海普瑞,1247201704,1247201704,C27 医药制造业,1
002400,省广股份,1743337128,1417347725,L72 商务服务业,1
002405,四维图新,1282615013,1017919777,I65 软件和信息技术服务业,1
002407,多氟多,627700387,537376735,C26 化学原料和化学制品制造业,1
002408,齐翔腾达,1775209253,1675993641,C26 化学原料和化学制品制造业,1
002410,广联达,1119361939,866717500,I65 软件和信息技术服务业,1
002411,必康股份,1532283909,287122475,C27 医药制造业,1
002415,海康威视,9228865114,7257651014,C39 计算机、通信和其他电子设备,1
002422,科伦药业,1440000000,1028744350,C27 医药制造业,1
002424,贵州百灵,1411200000,728661288,C27 医药制造业,1
002426,胜利精密,3421275069,1963865404,C39 计算机、通信和其他电子设备,1
002431,棕榈股份,1486985450,939510489,E48 土木工程建筑业,1
002437,誉衡药业,2198290350,2146650274,C27 医药制造业,1
002439,启明星辰,896692587,575390486,I64 互联网和相关服务,1
002444,巨星科技,1075247700,1011855624,C33 金属制品业,1
002450,康得新,3536454205,2888070930,C29 橡胶和塑料制品业,1
002456,欧菲光,2715665975,2554478432,C39 计算机、通信和其他电子设备,1
002460,赣锋锂业,728904879,519599400,C32 有色金属冶炼和压延加工业,1
002465,海格通信,2307395829,1853911308,C39 计算机、通信和其他电子设备,1
002466,天齐锂业,994422200,985742990,C32 有色金属冶炼和压延加工业,1
002468,申通快递,1530802166,331776000,C34 通用设备制造业,1
002470,金正大,3150029146,2578612721,C26 化学原料和化学制品制造业,1
002475,立讯精密,3180087948,2810772049,C39 计算机、通信和其他电子设备,1
002477,雏鹰农牧,3135159630,1866316873,A03 畜牧业,1
002489,浙江永强,2175736503,1875386744,C21 家具制造业,1
002491,通鼎互联,1261709144,1153085357,C38 电气机械和器材制造业,1
002493,荣盛石化,3816000000,3417222000,C28 化学纤维制造业,1
002500,山西证券,2828725153,2827665153,J67 资本市场服务,1
002501,利源精制,1214835580,674413126,C32 有色金属冶炼和压延加工业,1
002506,协鑫集成,5046400000,2523520000,C39 计算机、通信和其他电子设备,1
002508,老板电器,949032825,930433238,C38 电气机械和器材制造业,1
002522,浙江众成,905779387,833486869,C29 橡胶和塑料制品业,1
002555,三七互娱,2148110844,623149869,I64 互联网和相关服务,1
002558,巨人网络,2024379932,347932760,I64 互联网和相关服务,1
002563,森马服饰,2693829040,1838844398,C18 纺织服装、服饰业,1
002572,索菲亚,923426310,578293000,C21 家具制造业,1
002573,清新环境,1073196600,1071851176,N77 生态保护和环境治理业,1
002583,海能达,1747278007,857630572,C39 计算机、通信和其他电子设备,1
002594,比亚迪,1813142855,886190104,C36 汽车制造业,1
002601,龙蟒佰利,2032095439,671785642,C26 化学原料和化学制品制造业,1
002602,世纪华通,1027092040,587754980,C36 汽车制造业,1
002610,爱康科技,4490861600,4227400600,C38 电气机械和器材制造业,1
002624,完美世界,1314686873,335673329,I64 互联网和相关服务,1
002631,德尔未来,650480000,288843131,C20 木材加工和木、竹、藤、棕、,1
