000762	西藏矿业	520,819,240	475,950,049	B08 黑色金属矿采选业	1
000768	中航飞机	2,768,645,071	2,768,625,296	C37 铁路、船舶、航空航天和其他	1
000776	广发证券	5,919,291,464	5,919,291,464	J67 资本市场服务	1
000778	新兴铸管	3,990,880,176	3,643,005,296	C33 金属制品业	1
000783	长江证券	5,529,467,678	4,742,392,213	J67 资本市场服务	1
000786	北新建材	1,788,579,717	1,377,655,722	C30 非金属矿物制品业	1
000792	盐湖股份	2,786,090,601	2,749,893,721	C26 化学原料和化学制品制造业	1
000793	华闻传媒	2,017,365,965	1,841,535,203	R85 新闻和出版业	1
000800	一汽轿车	1,627,500,000	1,411,754,078	C36 汽车制造业	1
000806	银河生物	1,099,911,762	698,445,701	C38 电气机械和器材制造业	1
000807	云铝股份	2,606,838,797	1,721,845,388	C32 有色金属冶炼和压延加工业	1
000825	太钢不锈	5,696,247,796	5,696,074,051	C31 黑色金属冶炼和压延加工业	1
000826	启迪桑德	854,297,580	846,676,340	N77 生态保护和环境治理业	1
000829	天音控股	959,313,496	950,077,151	F51 批发业	1
000839	中信国安	3,919,826,352	3,919,204,282	I63 电信、广播电视和卫星传输服	1
000858	五 粮 液	3,795,966,720	3,795,750,918	C15 酒、饮料和精制茶制造业	1
000876	新 希 望	4,216,015,009	3,456,712,402	C13 农副食品加工业	1
000878	云南铜业	1,416,398,800	1,416,391,956	C32 有色金属冶炼和压延加工业	1
000883	湖北能源	6,507,449,486	5,345,829,103	D44 电力、热力生产和供应业	1
000887	中鼎股份	1,234,440,095	1,213,902,259	C29 橡胶和塑料制品业	1
000895	双汇发展	3,299,558,284	3,299,023,594	C13 农副食品加工业	1
000898	鞍钢股份	6,149,007,847	6,148,994,610	C31 黑色金属冶炼和压延加工业	1
000901	航天科技	409,460,479	323,623,771	C37 铁路、船舶、航空航天和其他	1
000917	电广传媒	1,417,556,338	1,062,082,046	I63 电信、广播电视和卫星传输服	1
000930	中粮生化	964,411,115	964,397,222	C26 化学原料和化学制品制造业	1
000937	冀中能源	3,533,546,850	2,906,599,842	B06 煤炭开采和洗选业	1
000938	紫光股份	1,042,303,162	206,072,350	C39 计算机、通信和其他电子设备	1
000957	中通客车	592,903,936	476,998,666	C36 汽车制造业	1
000959	首钢股份	5,289,389,600	2,966,522,430	C31 黑色金属冶炼和压延加工业	1
000960	锡业股份	1,472,055,068	1,209,423,038	C32 有色金属冶炼和压延加工业	1
000961	中南建设	3,709,788,797	3,699,838,250	E48 土木工程建筑业	1
000963	华东医药	972,116,416	868,119,982	F52 零售业	1
000970	中科三环	1,065,200,000	1,063,471,194	C39 计算机、通信和其他电子设备	1
000977	浪潮信息	999,282,714	995,324,717	C39 计算机、通信和其他电子设备	1
000979	中弘股份	8,390,601,199	8,388,921,199	K70 房地产业	1
000983	西山煤电	3,151,200,000	3,151,197,660	B06 煤炭开采和洗选业	1
000988	华工科技	891,116,632	890,894,432	C39 计算机、通信和其他电子设备	1
000997	新 大 陆	938,399,518	924,321,797	I65 软件和信息技术服务业	1
000998	隆平高科	1,256,194,674	953,345,487	A01 农业	1
000999	华润三九	978,900,000	978,395,308	C27 医药制造业	1
001979	招商蛇口	7,904,092,722	1,899,853,726	K70 房地产业	1
002001	新 和 成	1,088,919,000	1,073,039,625	C27 医药制造业	1
002002	鸿达兴业	2,420,536,036	2,075,683,952	C26 化学原料和化学制品制造业	1
002004	华邦健康	2,034,827,685	1,669,139,177	C26 化学原料和化学制品制造业	1
002007	华兰生物	930,087,680	803,396,544	C27 医药制造业	1
002008	大族激光	1,067,065,245	992,183,437	C35 专用设备制造业	1
002010	传化智联	3,257,814,678	412,817,189	C26 化学原料和化学制品制造业	1
002013	中航机电	2,405,755,557	2,095,041,338	C37 铁路、船舶、航空航天和其他	1
002018	华信国际	2,277,827,422	2,277,816,172	C26 化学原料和化学制品制造业	1
002019	亿帆医药	1,100,798,107	578,251,700	C27 医药制造业	1
002024	苏宁云商	9,310,039,655	4,986,564,568	F52 零售业	1
002027	分众传媒	12,231,566,900	5,803,817,233	L72 商务服务业	1
002030	达安基因	724,920,472	694,373,658	C27 医药制造业	1
002038	双鹭药业	684,900,000	566,397,213	C27 医药制造业	1
002044	美年健康	2,421,482,706	1,061,791,263	Q83 卫生	1
002049	紫光国芯	606,817,968	602,715,051	C39 计算机、通信和其他电子设备	1
002051	中工国际	1,112,774,016	1,107,917,173	E48 土木工程建筑业	1
002065	东华软件	3,139,787,560	2,736,612,438	I65 软件和信息技术服务业	1
002074	国轩高科	877,600,000	486,479,408	C38 电气机械和器材制造业	1
002075	沙钢股份	2,206,771,772	2,206,770,722	C31 黑色金属冶炼和压延加工业	1
002081	金 螳 螂	2,643,308,689	2,544,354,677	E50 建筑装饰和其他建筑业	1
002085	万丰奥威	2,186,879,678	2,113,733,512	C36 汽车制造业	1
002092	中泰化学	2,146,449,598	1,695,045,458	C26 化学原料和化学制品制造业	1
002108	沧州明珠	1,090,710,923	1,044,545,579	C29 橡胶和塑料制品业	1
002120	韵达股份	1,217,253,678	138,875,561	C41 其他制造业	1
002129	中环股份	2,644,236,466	2,644,236,466	C38 电气机械和器材制造业	1
002131	利欧股份	5,607,625,387	3,061,324,019	I64 互联网和相关服务	1
002138	顺络电子	755,474,814	667,661,690	C39 计算机、通信和其他电子设备	1
002142	宁波银行	5,069,732,305	4,490,153,213	J66 货币金融服务	1
002146	荣盛发展	4,348,163,851	3,890,348,153	K70 房地产业	1
002152	广电运通	2,428,885,725	1,955,163,223	C34 通用设备制造业	1
002153	石基信息	1,066,788,753	484,463,043	I65 软件和信息技术服务业	1
002155	湖南黄金	1,202,039,474	996,157,273	B09 有色金属矿采选业	1
002168	深圳惠程	820,589,768	766,059,768	C38 电气机械和器材制造业	1
002176	江特电机	1,469,182,112	1,380,671,330	C38 电气机械和器材制造业	1
002179	中航光电	791,013,709	782,471,491	C39 计算机、通信和其他电子设备	1
002183	怡 亚 通	2,119,516,750	2,117,300,612	L72 商务服务业	1
002185	华天科技	2,131,112,944	2,130,400,020	C39 计算机、通信和其他电子设备	1
002191	劲嘉股份	1,306,047,200	1,302,564,375	C23 印刷和记录媒介复制业	1
002195	二三四五	3,285,446,248	1,872,906,161	I65 软件和信息技术服务业	1
002202	金风科技	2,235,494,200	2,157,522,689	C34 通用设备制造业	1
002217	合力泰	3,128,310,676	1,758,117,310	C39 计算机、通信和其他电子设备	1
002223	鱼跃医疗	1,002,476,929	837,481,302	C35 专用设备制造业	1
002230	科大讯飞	1,388,693,628	1,190,516,436	I65 软件和信息技术服务业	1
002236	大华股份	2,899,411,405	1,701,891,379	C39 计算机、通信和其他电子设备	1
002241	歌尔股份	3,245,103,948	2,720,061,926	C39 计算机、通信和其他电子设备	1
002250	联化科技	925,902,056	678,373,048	C26 化学原料和化学制品制造业	1
002252	上海莱士	4,970,238,896	4,400,660,028	C27 医药制造业	1
002268	卫 士 通	838,336,028	551,411,685	I65 软件和信息技术服务业	1
002271	东方雨虹	880,997,515	563,584,777	C30 非金属矿物制品业	1
002273	水晶光电	662,918,124	611,775,332	C39 计算机、通信和其他电子设备	1
002276	万马股份	1,035,489,098	937,035,269	C38 电气机械和器材制造业	1
002280	联络互动	2,177,149,675	1,265,493,884	I65 软件和信息技术服务业	1
002292	奥飞娱乐	1,307,889,679	760,170,867	C24 文教、工美、体育和娱乐用品	1
002294	信立泰	1,046,016,000	1,046,016,000	C27 医药制造业	1
002299	圣农发展	1,110,900,000	900,865,200	A03 畜牧业	1
002304	洋河股份	1,506,988,000	1,243,672,017	C15 酒、饮料和精制茶制造业	1
002310	东方园林	2,681,155,280	1,520,136,234	E48 土木工程建筑业	1
002311	海大集团	1,575,965,054	1,528,557,610	C13 农副食品加工业	1
002326	永太科技	826,085,587	516,901,877	C26 化学原料和化学制品制造业	1
002329	皇氏集团	837,640,035	513,762,346	C14 食品制造业	1
002340	格林美	3,815,910,339	3,114,253,706	C42 废弃资源综合利用业	1
002343	慈文传媒	314,510,000	231,521,935	R86 广播、电视、电影和影视录音	1
002352	顺丰控股	4,183,678,213	142,472,846	G60 邮政业	1
002353	杰瑞股份	957,853,992	667,911,808	C35 专用设备制造业	1
002366	台海核电	867,057,350	489,035,056	C35 专用设备制造业	1
002368	太极股份	415,597,227	390,621,405	I65 软件和信息技术服务业	1
002385	大北农	4,100,669,122	2,307,204,220	C13 农副食品加工业	1
002389	南洋科技	708,846,900	527,908,563	C39 计算机、通信和其他电子设备	1
002390	信邦制药	1,704,895,788	1,020,533,298	C27 医药制造业	1
002399	海普瑞	1,247,201,704	1,247,201,704	C27 医药制造业	1
002400	省广股份	1,743,337,128	1,417,347,725	L72 商务服务业	1
002405	四维图新	1,282,615,013	1,017,919,777	I65 软件和信息技术服务业	1
